版本,奥迪A6L 2023款 40 TFSI 豪华致雅型,奥迪A6L 2023款 40 TFSI 豪华动感型,奥迪A6L 2023款 45 TFSI 臻选致雅型,奥迪A6L 2023款 45 TFSI 臻选动感型,奥迪A6L 2023款 45 TFSI quattro 臻选致雅型,奥迪A6L 2023款 45 TFSI quattro 臻选动感型,奥迪A6L 2023款 45 TFSI quattro 尊享致雅型,奥迪A6L 2023款 45 TFSI quattro 尊享动感型,奥迪A6L 2023款 55 TFSI quattro 尊享致雅型,奥迪A6L 2023款 55 TFSI quattro 尊享动感型,奥迪A6L 2023款 55 TFSI quattro 旗舰致雅型,奥迪A6L 2023款 55 TFSI quattro 旗舰动感型
指导价,42.79万,42.79万,45.49万,45.49万,47.99万,47.99万,49.98万,49.98万,55.89万,55.89万,65.68万,65.68万
官方指导价,42.79万,42.79万,45.49万,45.49万,47.99万,47.99万,49.98万,49.98万,55.89万,55.89万,65.68万,65.68万
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,48V轻混系统,48V轻混系统,48V轻混系统,48V轻混系统
上市时间,2022.08,2022.08,2022.08,2022.08,2022.08,2022.08,2022.08,2022.08,2022.08,2022.08,2022.08,2022.08
发动机,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,3.0T 340马力 V6 48V轻混,3.0T 340马力 V6 48V轻混,3.0T 340马力 V6 48V轻混,3.0T 340马力 V6 48V轻混
最大功率(kW),140(190Ps),140(190Ps),180(245Ps),180(245Ps),180(245Ps),180(245Ps),180(245Ps),180(245Ps),250(340Ps),250(340Ps),250(340Ps),250(340Ps)
最大扭矩(N·m),320,320,370,370,370,370,370,370,500,500,500,500
最大扭矩(N·m),320,320,370,370,370,370,370,370,500,500,500,500
变速箱,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合
长x宽x高(mm),5038x1886x1475,5050x1886x1475,5038x1886x1475,5038x1886x1475,5038x1886x1475,5038x1886x1475,5038x1886x1475,5038x1886x1475,5038x1886x1475,5038x1886x1475,5038x1886x1475,5050x1886x1475
车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),230,230,250,250,250,250,250,250,250,250,250,250
官方百公里加速时间(s),8.3,8.3,7.8,7.8,7.7,7.7,7.7,7.7,5.6,5.6,5.6,5.6
WLTC综合油耗(L/100km),7.11,7.11,7.26,7.26,7.69,7.78,7.69,7.78,8.52,8.52,8.52,8.52
整车保修期限,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里
6万公里保养总成本预估,22216.0元,22216.0元,22216.0元,22216.0元,22216.0元,22216.0元,22216.0元,22216.0元,25027.0元,25027.0元,25027.0元,25027.0元
长(mm),5038,5050,5038,5050,5038,5050,5038,5050,5038,5050,5038,5050
宽(mm),1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
高(mm),1475,1475,1475,1475,1475,1475,1475,1475,1460,1475,1460,1475
轴距(mm),3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024
前轮距(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630
后轮距(mm),1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616
车身结构,三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5
整备质量(kg),1795,1795,1810,1810,1880,1880,1880,1880,1995,1995,1995,1995
满载质量(kg),2320,2320,2350,2385,2385,2350,2380,2385,2505,2505,2505,2505
油箱容积(L),73,73,73,73,73,73,73,73,73,73,73,73
行李舱容积(L),430,430,430,430,430,430,430,430,430,430,430,430
